Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Datetime,,,,,
2025-05-08 18:16:00+0000,41634.30078125,41643.33984375,41626.30859375,41626.37109375,822648
2025-05-08 18:17:00+0000,41633.1015625,41639.44921875,41631.87890625,41634.328125,783933
2025-05-08 18:18:00+0000,41628.421875,41636.19140625,41628.30078125,41632.96875,448923
2025-05-08 18:19:00+0000,41627.6484375,41629.87890625,41622.609375,41628.109375,591838
2025-05-08 18:20:00+0000,41634.921875,41637.48828125,41627.58984375,41627.58984375,734148
2025-05-08 18:21:00+0000,41634.55859375,41637.3515625,41633.140625,41634.44921875,645830
2025-05-08 18:22:00+0000,41627.55078125,41635.890625,41625.55859375,41635.08984375,628774
2025-05-08 18:23:00+0000,41602.140625,41627.76953125,41601.62890625,41627.76953125,763464
2025-05-08 18:24:00+0000,41597.16015625,41602.55859375,41596.8515625,41602.30078125,696757
2025-05-08 18:25:00+0000,41613.7890625,41614.62890625,41597.23828125,41597.23828125,655235
2025-05-08 18:26:00+0000,41599.71875,41613.76171875,41599.71875,41613.76171875,558049
2025-05-08 18:27:00+0000,41605.98828125,41607.6015625,41599.76953125,41600.58984375,493049
2025-05-08 18:28:00+0000,41597.8984375,41608.859375,41597.8984375,41606.12109375,431198
